URL,Service,Location,Word Count,Meta Title Length,Meta Desc Length,H1 Unique,Meta Title Unique,Other Services Links,Nearby Locations Links,SEO Pass,Published
"https://www.articclean.it/servizi/gestione-carrellati/bagnolo-mella","Gestione Carrellati","Bagnolo Mella",741,48,129,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/bedizzole","Gestione Carrellati","Bedizzole",776,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/brescia","Gestione Carrellati","Brescia",727,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/calcinato","Gestione Carrellati","Calcinato",804,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/capriolo","Gestione Carrellati","Capriolo",714,43,124,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/castenedolo","Gestione Carrellati","Castenedolo",769,46,127,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/cazzago-san-martino","Gestione Carrellati","Cazzago San Martino",748,54,135,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/chiari","Gestione Carrellati","Chiari",790,41,122,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/concesio","Gestione Carrellati","Concesio",717,43,124,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/desenzano-del-garda","Gestione Carrellati","Desenzano del Garda",826,54,135,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/erbusco","Gestione Carrellati","Erbusco",697,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/ghedi","Gestione Carrellati","Ghedi",779,40,121,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/lonato-del-garda","Gestione Carrellati","Lonato del Garda",765,51,132,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/lumezzane","Gestione Carrellati","Lumezzane",768,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/manerbio","Gestione Carrellati","Manerbio",720,43,124,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/mazzano","Gestione Carrellati","Mazzano",799,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/montichiari","Gestione Carrellati","Montichiari",716,46,127,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/orzinuovi","Gestione Carrellati","Orzinuovi",787,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/palazzolo-sull-oglio","Gestione Carrellati","Palazzolo sull'Oglio",720,55,136,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/rezzato","Gestione Carrellati","Rezzato",795,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/roncadelle","Gestione Carrellati","Roncadelle",708,45,126,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/rovato","Gestione Carrellati","Rovato",799,41,122,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/salo","Gestione Carrellati","Salò",711,39,120,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/sarezzo","Gestione Carrellati","Sarezzo",787,42,123,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/gestione-carrellati/travagliato","Gestione Carrellati","Travagliato",750,46,127,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/bagnolo-mella","Giardinaggio","Bagnolo Mella",782,41,122,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/bedizzole","Giardinaggio","Bedizzole",734,37,118,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/brescia","Giardinaggio","Brescia",844,35,116,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/calcinato","Giardinaggio","Calcinato",731,37,118,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/capriolo","Giardinaggio","Capriolo",787,36,117,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/castenedolo","Giardinaggio","Castenedolo",749,39,120,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/cazzago-san-martino","Giardinaggio","Cazzago San Martino",801,47,128,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/chiari","Giardinaggio","Chiari",731,34,115,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/concesio","Giardinaggio","Concesio",825,36,117,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/desenzano-del-garda","Giardinaggio","Desenzano del Garda",735,47,128,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/erbusco","Giardinaggio","Erbusco",796,35,116,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/ghedi","Giardinaggio","Ghedi",747,33,114,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/lonato-del-garda","Giardinaggio","Lonato del Garda",812,44,125,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/lumezzane","Giardinaggio","Lumezzane",724,37,118,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/manerbio","Giardinaggio","Manerbio",818,36,117,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/mazzano","Giardinaggio","Mazzano",727,35,116,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/montichiari","Giardinaggio","Montichiari",806,39,120,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/orzinuovi","Giardinaggio","Orzinuovi",764,37,118,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/palazzolo-sull-oglio","Giardinaggio","Palazzolo sull'Oglio",794,48,129,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/rezzato","Giardinaggio","Rezzato",736,35,116,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/roncadelle","Giardinaggio","Roncadelle",802,38,119,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/rovato","Giardinaggio","Rovato",711,34,115,"YES","YES",3,4,"FAIL",true
"https://www.articclean.it/servizi/giardinaggio/salo","Giardinaggio","Salò",815,32,113,"YES","YES",3,4,"FAIL",true
